Sr. No.,Name of Terminus,Nature of Work,Name of Ward
1,Lal Darwaja,Bus Terminus/Cash Cabin,Raikhad
2,Wadaj Terminus,Bus Terminus/Cash Cabin,Wadaj
3,Wadaj Bus Stand,Bus Stand,Wadaj
4,Paldi Bus Stand,Bus Stand,Paldi
5,Paldi Depot,Night Parking,Paldi
6,Navrangpura Bus Stand,Bus Stand,Navrangpura
7,Sarangpur Bus Terminus,Terminus/Cash Cabin,Sarangpur
8,Naroda Bus Terminus,Terminus/Cash Cabin,Naroda
9,Vasna Bus Terminus,Terminus/Cash Cabin,Vasna
10,Hatkeshwar Bus Terminus,Terminus/Cash Cabin,Hatkeshwar
11,Akhbarnagar  Terminus,Bus Terminus,Nava Wadaj
12,Sola Housing Terminus,Bus Terminus,Naranpura
13,Kalupur Terminus,Terminus/Cash Cabin,Kalupur
14,Jamalpur,Depot / Parking,Behrampura
15,Sabarmati Acher,Private Parking,Sabarmati
16,Memnagar Depot,Depot/Pvt. parking,Navrangpura
17,Naroda-Memco,Depot / Parking,Naroda
18,Millatnagar,Depot / Parking/Cash Cabin,Danilimda
19,Shrinath Depot,Private Parking,Wadaj
